hb_W_m2K,temps_h,temperature_non_regulee_C
10,25.0,29.021989100690085
10,25.25,29.087537640790217
10,25.5,29.152692299456973
10,25.75,29.217455443525424
10,26.0,29.281829425608326
10,26.25,29.345816584181556
10,26.5,29.40941924366911
10,26.75,29.47263971452748
10,27.0,29.53548029332965
10,27.25,29.597943262848446
10,27.5,29.66003089213954
10,27.75,29.721745436623827
10,28.0,29.78308913816936
10,28.25,29.844064225172808
10,28.5,29.904672912640393
10,28.75,29.964917402268362
10,29.0,30.024799882522952
10,29.25,30.084322528719902
10,29.5,30.143487503103465
10,29.75,30.202296954924968
10,30.0,30.26075302052087
10,30.25,30.318857823390385
10,30.5,30.37661347427261
10,30.75,30.43402207122319
10,31.0,30.49108569969056
10,31.25,30.54780643259169
10,31.5,30.604186330387364
10,31.75,30.66022744115707
10,32.0,30.71593180067336
10,32.25,30.77130143247584
10,32.5,30.82633834794465
10,32.75,30.88104454637353
10,33.0,30.93542201504247
10,33.25,30.98947272928988
10,33.5,31.04319865258435
10,33.75,31.096601736595993
10,34.0,31.14968392126731
10,34.25,31.202447134883702
10,34.5,31.25489329414347
10,34.75,31.30702430422749
10,35.0,31.358842058868387
10,35.25,31.41034844041934
10,35.5,31.461545319922465
10,35.75,31.51243455717677
10,36.0,31.563018000805734
10,36.25,31.61329748832445
10,36.5,31.663274846206363
10,36.75,31.712951889949643
10,37.0,31.76233042414312
10,37.25,31.811412242531848
10,37.5,31.86019912808225
10,37.75,31.908692853046915
10,38.0,31.956895179028933
10,38.25,32.00480785704594
10,38.5,32.05243262759368
10,38.75,32.09977122070926
10,39.0,32.14682535603399
10,39.25,32.193596742875854
10,39.5,32.24008708027158
10,39.75,32.286298057048384
10,40.0,32.33223135188532
10,40.25,32.377888633374255
10,40.5,32.423271560080465
10,40.75,32.46838178060291
10,41.0,32.51322093363412
10,41.25,32.55779064801971
10,41.5,32.60209254281755
10,41.75,32.646128227356584
10,42.0,32.6898993012953
10,42.25,32.73340735467983
10,42.5,32.77665396800171
10,42.75,32.81964071225529
10,43.0,32.86236914899483
10,43.25,32.90484083039118
10,43.5,32.9470572992882
10,43.75,32.989020089258794
10,44.0,33.030730724660636
10,44.25,33.072190720691495
10,44.5,33.113401583444336
10,44.75,33.154364809962004
10,45.0,33.1950818882916
10,45.25,33.23555429753854
10,45.5,33.275783507920316
10,45.75,33.31577098081984
10,46.0,33.35551816883859
10,46.25,33.39502651584936
10,46.5,33.43429745704869
10,46.75,33.47333241900904
10,47.0,33.51213281973056
10,47.25,33.55070006869267
10,47.5,33.58903556690519
10,47.75,33.62714070695928
10,48.0,33.66501687307802
10,48.25,33.70266544116667
10,48.5,33.7400877788627
10,48.75,33.777285245585404
10,49.0,33.814259192585354
10,49.25,33.85101096299341
10,49.5,33.88754189186962
10,49.75,33.92385330625158
10,50.0,33.95994652520275
10,50.25,33.99582285986033
10,50.5,34.03148361348289
10,50.75,34.0669300814977
10,51.0,34.102163551547825
10,51.25,34.13718530353886
10,51.5,34.17199660968544
10,51.75,34.20659873455749
10,52.0,34.24099293512609
10,52.25,34.27518046080918
10,52.5,34.30916255351697
10,52.75,34.34294044769701
10,53.0,34.37651537037905
10,53.25,34.40988854121961
10,53.5,34.443061172546294
10,53.75,34.476034469401824
10,54.0,34.508809629587816
10,54.25,34.541387843708286
10,54.5,34.57377029521292
10,54.75,34.60595816044003
10,55.0,34.63795260865933
10,55.25,34.66975480211437
10,55.5,34.70136589606477
10,55.75,34.73278703882821
10,56.0,34.76401937182211
10,56.25,34.795064029605115
10,56.5,34.8259221399183
